video_path,video_results,video_sim,cnt_per_video
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a bar with chairs and a television on the wall-0-4058222507.mp4,0.8541438405106707,140.07958984375,164
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a bar with chairs and a television on the wall-1-843691521.mp4,0.8484824576028963,139.151123046875,164
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a bar with chairs and a television on the wall-2-1443945792.mp4,0.8735158036394817,143.256591796875,164
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a bar with chairs and a television on the wall-3-3409047293.mp4,0.8696854754192073,142.62841796875,164
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a bar with chairs and a television on the wall-4-3346549625.mp4,0.8595551281440549,140.967041015625,164
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a boat sits on the shore of a lake with mt fuji in the background-0-235683895.mp4,0.8414232207507621,137.993408203125,164
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a boat sits on the shore of a lake with mt fuji in the background-1-803459517.mp4,0.9585407536204268,157.20068359375,164
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a boat sits on the shore of a lake with mt fuji in the background-2-705480874.mp4,0.853465010480183,139.96826171875,164
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a boat sits on the shore of a lake with mt fuji in the background-3-1874863830.mp4,0.8797897711032774,144.2855224609375,164
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a boat sits on the shore of a lake with mt fuji in the background-4-553405865.mp4,0.87481689453125,143.469970703125,164
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a bridge that is in the middle of a river-0-2855776365.mp4,0.8872948623285061,145.516357421875,164
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a bridge that is in the middle of a river-1-1783074016.mp4,0.8246802353277439,135.24755859375,164
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a bridge that is in the middle of a river-2-2928260923.mp4,0.8595298208841463,140.962890625,164
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a bridge that is in the middle of a river-3-3260086526.mp4,0.89398193359375,146.613037109375,164
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a bridge that is in the middle of a river-4-3866683751.mp4,0.884877274676067,145.119873046875,164
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a captivating scene featuring a spiral galaxy shining brilliantly in the night sky-0-349268902.mp4,0.85211181640625,139.746337890625,164
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a captivating scene featuring a spiral galaxy shining brilliantly in the night sky-1-885143245.mp4,0.8891154963795732,145.81494140625,164
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a captivating scene featuring a spiral galaxy shining brilliantly in the night sky-2-42609239.mp4,0.8446774366425305,138.527099609375,164
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a captivating scene featuring a spiral galaxy shining brilliantly in the night sky-3-2212448975.mp4,0.8628629358803354,141.509521484375,164
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a captivating scene featuring a spiral galaxy shining brilliantly in the night sky-4-635626943.mp4,0.8986265601181402,147.374755859375,164
