video_path,video_results
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a bar with chairs and a television on the wall-0-4058222507.mp4,0.7611465403219548
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a bar with chairs and a television on the wall-1-843691521.mp4,0.705919772023108
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a bar with chairs and a television on the wall-2-1443945792.mp4,0.757444450177434
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a bar with chairs and a television on the wall-3-3409047293.mp4,0.7218504828378195
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a bar with chairs and a television on the wall-4-3346549625.mp4,0.8262581384581763
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a boat sits on the shore of a lake with mt fuji in the background-0-235683895.mp4,0.7870910055026775
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a boat sits on the shore of a lake with mt fuji in the background-1-803459517.mp4,0.9364368864675847
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a boat sits on the shore of a lake with mt fuji in the background-2-705480874.mp4,0.7900656426734314
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a boat sits on the shore of a lake with mt fuji in the background-3-1874863830.mp4,0.8609280698001385
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a boat sits on the shore of a lake with mt fuji in the background-4-553405865.mp4,0.8252653773056298
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a bridge that is in the middle of a river-0-2855776365.mp4,0.8399421947031487
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a bridge that is in the middle of a river-1-1783074016.mp4,0.8155551335615355
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a bridge that is in the middle of a river-2-2928260923.mp4,0.7984951592800094
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a bridge that is in the middle of a river-3-3260086526.mp4,0.7879684685570437
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a bridge that is in the middle of a river-4-3866683751.mp4,0.8223994755890311
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a captivating scene featuring a spiral galaxy shining brilliantly in the night sky-0-349268902.mp4,0.7031134122573748
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a captivating scene featuring a spiral galaxy shining brilliantly in the night sky-1-885143245.mp4,0.7897199876606464
C:\workspace\world\Matrix-Game\Matrix-Game-2\out\vbench\videos\a captivating scene featuring a spiral galaxy shining brilliantly in the night sky-2-42609239.mp4,0.717084297456029
